Code,Name,Date,Hour,Available Lots
BPlus,Bugis +,13-04-2024,17,94
CQ,Clarke Quay,13-04-2024,17,168
FN,Funan,13-04-2024,17,72
PS,Plaza Singapura,13-04-2024,17,169
RCS,Raffles City,13-04-2024,17,567
TAO,The Atrium@Orchard,13-04-2024,17,49
BM,Bedok Mall,13-04-2024,17,50
TM,Tampines Mall,13-04-2024,17,223
BPP,Bukit Panjang Plaza,13-04-2024,17,197
J8,Junction 8,13-04-2024,17,102
LO,Lot One,13-04-2024,17,157
IMM,IMM,13-04-2024,17,474
WG,Westgate,13-04-2024,17,97
CG,CapitaGreen,13-04-2024,17,149
CT,Capital Tower,13-04-2024,17,40
SBR,Six Battery Road,13-04-2024,17,142
CS,CapitaSpring,13-04-2024,17,339
